TEAM,MATCH_UP,GAME_DATE,OUTCOME,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
POR,POR vs. LAL,44506,W,240,105,36,95,37.9,15,55,27.3,18,24,75,12,40,52,22,14,7,12,21,15
POR,POR vs. IND,44505,W,240,110,40,82,48.8,17,39,43.6,13,15,86.7,6,36,42,27,7,4,14,15,4
POR,POR @ CLE,44503,L,240,104,40,90,44.4,13,37,35.1,11,17,64.7,10,29,39,24,12,6,9,19,-3
POR,POR @ PHI,44501,L,240,103,40,84,47.6,12,34,35.3,11,18,61.1,13,32,45,21,5,2,15,15,-10
POR,POR @ CHA,44500,L,240,113,43,97,44.3,17,54,31.5,10,11,90.9,15,32,47,30,4,5,12,18,-12
POR,POR vs. LAC,44498,W,240,111,41,98,41.8,19,41,46.3,10,16,62.5,16,47,63,21,8,6,14,19,19
POR,POR vs. MEM,44496,W,240,116,39,84,46.4,15,36,41.7,23,31,74.2,13,35,48,22,11,6,14,20,20
POR,POR @ LAC,44494,L,240,86,32,85,37.6,8,37,21.6,14,18,77.8,7,40,47,15,11,4,30,18,-30
POR,POR vs. PHX,44492,W,240,134,51,94,54.3,21,50,42,11,17,64.7,8,40,48,24,8,5,9,15,29
POR,POR vs. SAC,44489,L,240,121,45,93,48.4,12,35,34.3,19,22,86.4,9,40,49,25,5,5,13,22,-3
SAC,SAC @ MIN,44517,,120,67,24,67,35.8,7,26,26.9,12,17,70.6,15,20,35,14,4,3,18,14,-3
SAC,SAC @ DET,44515,W,240,129,52,98,53.1,16,33,48.5,9,11,81.8,11,36,47,32,11,5,14,17,22
SAC,SAC @ OKC,44512,L,240,103,38,95,40,14,41,34.1,13,17,76.5,11,38,49,20,5,7,14,12,-2
SAC,SAC @ SAS,44510,L,240,117,47,91,51.6,10,36,27.8,13,16,81.3,11,33,44,20,4,6,15,26,-19
SAC,SAC vs. PHX,44508,L,240,104,37,82,45.1,10,24,41.7,20,26,76.9,8,38,46,18,6,6,24,18,-5
SAC,SAC vs. IND,44507,L,240,91,31,84,36.9,10,34,29.4,19,22,86.4,8,25,33,20,14,6,12,18,-3
SAC,SAC vs. CHA,44505,W,240,140,48,87,55.2,22,44,50,22,26,84.6,13,43,56,29,5,1,18,21,30
SAC,SAC vs. NOP,44503,W,240,112,42,80,52.5,10,30,33.3,18,22,81.8,4,33,37,27,8,7,8,21,13
SAC,SAC @ UTA,44502,L,240,113,42,93,45.2,12,31,38.7,17,24,70.8,6,32,38,24,8,8,11,24,-6
SAC,SAC @ DAL,44500,L,240,99,38,96,39.6,7,36,19.4,16,20,80,17,39,56,20,6,3,13,19,-6
SAC,SAC @ NOP,44498,W,240,113,40,80,50,9,27,33.3,24,25,96,3,42,45,19,4,5,14,20,4
SAC,SAC @ PHX,44496,W,240,110,42,95,44.2,15,38,39.5,11,15,73.3,8,32,40,28,7,6,12,20,3
SAC,SAC vs. GSW,44493,L,240,107,42,86,48.8,15,46,32.6,8,13,61.5,10,37,47,26,0,4,19,16,-12
SAC,SAC vs. UTA,44491,L,240,101,39,99,39.4,8,36,22.2,15,21,71.4,16,36,52,20,15,5,15,22,-9
SAC,SAC @ POR,44489,W,240,124,42,92,45.7,17,41,41.5,23,29,79.3,7,36,43,24,6,4,10,22,3
SAS,SAS @ LAC,44516,L,240,92,41,95,43.2,5,22,22.7,5,7,71.4,6,35,41,26,10,4,16,17,-14
SAS,SAS @ LAL,44514,L,240,106,40,90,44.4,16,36,44.4,10,15,66.7,11,32,43,28,9,2,15,17,-8
SAS,SAS vs. DAL,44512,L,240,109,41,84,48.8,13,30,43.3,14,20,70,3,38,41,30,3,3,13,17,-14
SAS,SAS vs. SAC,44510,W,240,136,49,92,53.3,18,32,56.3,20,31,64.5,12,31,43,34,11,3,8,16,19
